,Day,Month,Year,1St,hundredth,tenth,oneth,sum
600,1,11,2538,282069,0,6,9,16
601,16,10,2538,322154,1,5,4,10
602,1,10,2538,317092,0,9,2,12
603,16,9,2538,876454,4,5,4,13
604,1,9,2538,620837,8,3,7,19
605,16,8,2538,265333,3,3,3,9
606,1,8,2538,464819,8,1,9,19
607,16,7,2538,248122,1,2,2,5
608,1,7,2538,939901,9,0,1,10
609,16,6,2538,46698,6,9,8,24
610,1,6,2538,105615,6,1,5,12
611,17,5,2538,220381,3,8,1,12
612,2,5,2538,504692,6,9,2,18
613,16,4,2538,53581,5,8,1,14
614,1,4,2538,427039,0,3,9,13
615,16,3,2538,646847,8,4,7,20
616,1,3,2538,411454,4,5,4,13
617,16,2,2538,869070,0,7,0,7
618,1,2,2538,198162,1,6,2,9
619,16,1,2538,922388,3,8,8,20
620,30,12,2537,6284069,0,6,9,16
621,16,12,2537,5100040,0,4,0,4
622,1,12,2537,6832681,6,8,1,15
623,16,11,2537,6095849,8,4,9,22
624,1,11,2537,1676779,7,7,9,24
625,16,10,2537,7583048,0,4,8,13
626,1,10,2537,7128442,4,4,2,10
627,16,9,2537,4781931,9,3,1,13
628,1,9,2537,6220893,8,9,3,21
629,16,8,2537,6504760,7,6,0,13
630,1,8,2537,3114057,0,5,7,13
631,16,7,2537,5962891,8,9,1,19
632,1,7,2537,6568267,2,6,7,16
633,16,6,2537,1947355,3,5,5,14
634,1,6,2537,3560804,8,0,4,12
635,16,5,2537,2071764,7,6,4,18
636,2,5,2537,3072877,8,7,7,23
637,16,4,2537,7893913,9,1,3,13
638,1,4,2537,4269815,8,1,5,14
639,16,3,2537,1723336,3,3,6,12
640,1,3,2537,3373731,7,3,1,11
641,16,2,2537,7679044,0,4,4,8
642,1,2,2537,5984685,6,8,5,20
643,16,1,2537,4791270,2,7,0,9
644,30,12,2536,2669189,1,8,9,19
645,16,12,2536,4043500,5,0,0,5
646,1,12,2536,3670638,6,3,8,18
647,16,11,2536,7515123,1,2,3,6
648,1,11,2536,3908940,9,4,0,13
649,16,10,2536,7611764,7,6,4,18
650,1,10,2536,3415973,9,7,3,20
651,16,9,2536,4286755,7,5,5,18
652,1,9,2536,2812096,0,9,6,16
653,16,8,2536,4088644,6,4,4,14
654,1,8,2536,4137744,7,4,4,15
655,16,7,2536,5686061,0,6,1,7
656,1,7,2536,3820203,2,0,3,5
657,16,6,2536,2119871,8,7,1,16
658,1,6,2536,3488477,4,7,7,19
659,16,5,2536,1633983,9,8,3,21
660,2,5,2536,7749508,5,0,8,13
661,16,4,2536,5632018,0,1,8,9
662,1,4,2536,5825558,5,5,8,19
663,16,3,2536,7680699,6,9,9,25
664,1,3,2536,4006281,2,8,1,11
665,16,2,2536,7549455,4,5,5,15
666,1,2,2536,7459337,3,3,7,14
667,16,1,2536,5423816,8,1,6,15
668,30,12,2535,6662150,1,5,0,6
669,16,12,2535,4826531,5,3,1,9
670,1,12,2535,7120927,9,2,7,18
671,16,11,2535,3685682,6,8,2,17
672,1,11,2535,6267821,8,2,1,11
673,16,10,2535,3576993,9,9,3,22
674,1,10,2535,6379578,5,7,8,21
675,16,9,2535,6874108,1,0,8,9
676,1,9,2535,1446615,6,1,5,12
677,16,8,2535,6234607,6,0,7,13
678,1,8,2535,6697778,7,7,8,23
679,16,7,2535,7954430,4,3,0,7
680,1,7,2535,5119968,9,6,8,24
681,16,6,2535,5569432,4,3,2,9
682,1,6,2535,5184191,1,9,1,12
683,16,5,2535,2827496,4,9,6,20
684,2,5,2535,5765397,3,9,7,20
685,16,4,2535,2699374,3,7,4,15
686,1,4,2535,2244704,7,0,4,11
